,Name,Father_Name12,DOB12,Place_Of_Birth12,Education12,Profession12,Permanent_Address12,Present_Address12
82,Mensinkai  Shri B.M.,Shri Mallappa,3/2/1926,"Akkur, Distt. Haveri (Karnataka)",NA,NA,NA,NA
83,Mishra  Shri Indrajeet,Shri Debibar Mishra,1/4/1944,"Vishwanathpur, Distt. Azamgarh (Uttar Pradesh)",NA,NA,NA,NA
84,Mishra  Shri Janardan Prasad,Shri Ram Dularey Mishra,7/6/1939,"Hargaon, Distt. Sitapur (Uttar Pradesh)",NA,NA,NA,NA
85,Misra  Smt. Sukhda,Shri D.D. Trivedi,15/10/1941,"Daulatpur, Distt. Etawah (Uttar Pradesh)",NA,NA,NA,NA
86,Mudalagiriyappa  Shri C.P.,Shri Pape Gowda,24/06/1940,"Chiratha Halli, Distt. Tumkur (Karnataka)",NA,NA,NA,NA
87,Mukherjee  Shri Pramothes,Late Shri Satyabrata Mukherjee,17/01/1946,"Singhari, Distt. Murshidabad 
			(West Bengal)",NA,NA,NA,NA
88,Mukherjee  Shri Subrata,Late Shri Rup Narayan Mukherjee,12/10/1942,"Dalkhola, Distt. West Dinajpur 
			(West Bengal)",NA,NA,NA,NA
89,Mukhopadhyay  Shri Ajoy,Late Shri Amulya Chandra Mukhopadhyay,27/08/1928,"Raruli, Distt. Khulna (now in Bangladesh)",NA,NA,NA,NA
90,Munusamy  Shri K.P.,Shri Poongavanam Gounder,7/6/1952,"Kaveripattinam, Distt. Dharmapuri (Tamil Nadu)",NA,NA,NA,NA
91,Muthiah  Shri R.,Shri S. Ramasamy Thevar,4/10/1945,"Muthappanpatti, Distt. Madurai (Tamil Nadu)",NA,NA,NA,NA
92,Nagra  Shri Aman Kumar,Shri Jindu Ram,10/5/1955,"Tapu Kamalpur, Distt. Yamuna Nagar (Haryana)",NA,NA,NA,NA
